title	published_date	bib_text	origin_id	document_number	location_id	archive_number	comments	public_url	pdf_url	author	category
MPP I/O Control Unit, Rev 1	07/01/80		Reference Manual	GER-16679	KWB Home		Bound 21 pages single sided; also at smithsonian; box5			Kenneth E. Batcher	Manual
MPP PE Control Unit, Rev 4	06/01/83		Reference Manual	GER-16650	KWB Home		Bound 28 pages single sided; rev2 at smithsonian.; box4			Kenneth E. Batcher	Manual
MPP PE Array Language - PEARL, Rev3	10/01/82		Reference Manual	GER-16655	KWB Home		Bound 70 Pages single sided;Rev3 also at smithsonian;box4 			Kenneth E. Batcher	Manual
Elementary Functions in the MPP PE	12/01/78		Reference Manual	GER-16627	KWB Home		Bound 50 pages single sided;box5 smithsonian.			Kenneth E. Batcher	Manual
MPP Staging Memory	03/01/81		Reference Manual	GER-16964	KWB Home		Bound 100 pages single sided; rev1 at smithsonian; box4			Kenneth E. Batcher	Manual
MPP Main Control Unit, rev2	04/01/83		Reference Manual	GER-16659	KWB Home		Bound 44 pages single sided			Kenneth E. Batcher	Manual
MPP staging Memory manager, rev2	04/01/83		Reference Manual	GER-17062	KWB Home		Bound 67 pages single sided			Kenneth E. Batcher	Manual
Nearest Neighbor Binary rotation in MPP	01/01/79		Reference Manual	GER-16639	KWB Home		Bound 12 pages single sided;also at smithsonian box 4			Kenneth E. Batcher	Manual
Multidimensional Access Memories	08/01/70		Goodyear or Loral research documents	GER-14953	KWB Home		Bound 30 pages single sided			Kenneth E. Batcher	Paper
MPP Main Control Language, MCL	04/01/83		Reference Manual	GER-16672	KWB Home		Bound 400 pages?? Single Sided			Kenneth E. Batcher	Manual
Nomination for the 1980 Arnstein Award	11/01/80				KWB Home		Bound 20 pages single sided			Kenneth E. Batcher	Manual
Matching Problems to the MPP	1988?		Goodyear or Loral research documents		KWB Home		Stapled 35 pages, single sided			Kenneth E. Batcher	Presentation
Super Computing Newspaper Articals			Goodyear or Loral research documents		KWB Home		Loose, 20 pages			Kenneth E. Batcher	Photocopies
MPP Supersystem for Satellite Images	1980?		Goodyear or Loral research documents		KWB Home		Paper clip 20 pages			Kenneth E. Batcher	Paper
MPP Case Study	1980 ? 		Goodyear or Loral research documents		KWB Home		20 slides, shows performance comparisons			Kenneth E. Batcher	Slides
MPP Bibliography	12/01/83		Goodyear or Loral research documents		KWB Home		4 pages stapled			Kenneth E. Batcher	Bibliography
Report from he MPP working group 	12/01/87		Goodyear or Loral research documents				100 page			Kenneth E. Batcher	Bound report
Archicture of massivley parallel			Goodyear or Loral research documents				6 pages			Kenneth E. Batcher	Transcription
Elementary functions of the MPP 	12/01/78		Smithsonian	GER-16627			46 pages			Kenneth E. Batcher	manual 
Functional Description of the MPP PE, rev2	05/01/80		Smithsonian	GER-16624			23 pages bound manual			Kenneth E. Batcher	manual 
General description of MPP	04/01/83		Smithsonian	GER-17140			47 pages; Jonnies page			Kenneth E. Batcher	Manual
preliminary MPP main control programming lanugage	07/01/81		Smithsonian	GER-16672 			~300 pages			Kenneth E. Batcher	manual 
MPP phase1 final report	07/01/79		Smithsonian				spiral bound, 200 pages ?			Kenneth E. Batcher	manual report
MPP I/O control unit rev1 	07/01/80		Smithsonian				see above			Kenneth E. Batcher	manual report
Architecture Descriptions for MPP and ASPRO (by John Smit)	08/01/80		Goodyear or Loral research documents	GER-16785	KWB Home		12 pages, stapled			Kenneth E. Batcher	white paper
Parallel NonNUmeric Processing			Goodyear or Loral research documents	GER-12462	KWB Home		18 pages spiral bound			Kenneth E. Batcher	white paper
Massivly Parallel Processor	after 1980		Goodyear or Loral research documents		KWB Home		20 pages loose			Kenneth E. Batcher	Conference Presentation
Apple With Staran	1975 ?? 		Goodyear or Loral research documents	GER-15637B 	KWB Home		20 pages stapled			Kenneth E. Batcher	white paper
Presentation at ICPP	1982		Goodyear or Loral research documents		KWB Home		10 pages loose			Kenneth E. Batcher	Conference Presentation
Parallel Compilation	06/01/65		Goodyear or Loral research documents	GER-12210	KWB Home		18pages spiral			Kenneth E. Batcher	White paper
Staran Series E	Late 70s		Goodyear or Loral research documents		KWB Home		10 pages stapled			Kenneth E. Batcher	White paper
Flexible Parallel Processing and Staran	1972		Goodyear or Loral research documents	GER-15661	KWB Home		10 pages, bound			Kenneth E. Batcher	White paper
Staran Series E Performance and LACIE Algorithms	1977 ? 		Goodyear or Loral research documents		KWB Home		8 pages stapled			Kenneth E. Batcher	white paper
Bit Serial Processing Systems	1982		Goodyear or Loral research documents		KWB Home		8 pages, already publishhed on iEEE transactions on computers			Kenneth E. Batcher	conference paper
Flexible Parallel Processing and Staran	1972		Goodyear or Loral research documents		KWB Home		4 pages flyer			Kenneth E. Batcher	Marketing flyer
Biography, Ken Batcher	1988				KWB Home		list of patents and publications			Kenneth E. Batcher	Biography
Multi-dimensional Access Memory in staran	1975		Goodyear or Loral research documents		KWB Home		13 pages stapled	https://ieeexplore.ieee.org/document/5009297		Kenneth E. Batcher	Technical paper
Staran CIOU Reference Manual	1973		Goodyear or Loral research documents	GER-15642	KWB Home		100 pages manual bound single sided			Kenneth E. Batcher	Manual
Report from MPP Working Group	1987		Goodyear or Loral research documents		KWB Home		100 pages report0 single sided			Kenneth E. Batcher	technical report
Staran / RADCAP hardware architecture	1973		Goodyear or Loral research documents		KWB Home		6 pages 			Kenneth E. Batcher	paper
Architecture of Tomorrows' Massively parallel computer	1986		Goodyear or Loral research documents		KWB Home		10 pages 			Kenneth E. Batcher	transcribed talk
Application of associative array processor to database systems	1971		Goodyear or Loral research documents	GER-15290	KWB Home		30 pages spiral bound			Kenneth E. Batcher	technical paper
Slides for talk given to SRC	1987		Goodyear or Loral research documents		KWB Home		30 slides, binder clip			Kenneth E. Batcher	Conference Presentation
Warp processing using Staran	1976		Goodyear or Loral research documents	?	KWB Home		12 pages stapled			Kenneth E. Batcher	white paper
Staran Marketing flyer	1970?		Goodyear or Loral research documents		KWB Home		6 pages stapled			Kenneth E. Batcher	Marketing flyer
A study of byte oriented associative array processor for image processing	1975		Goodyear or Loral research documents		KWB Home		50 pages binder			Kenneth E. Batcher	Manual
Time Difference location fixing 	1972		Goodyear or Loral research documents	AP-122538	KWB Home		10 pages			Kenneth E. Batcher	technical flyer
Associative processor in database management systems	1972		Goodyear or Loral research documents	AP-122891	KWB Home		35 pages 			Kenneth E. Batcher	technical flyer
Sorting networks original			Goodyear or Loral research documents	GER-13167							
Flexible Parallel Processing Papers and STARAN (Digital Copy of Publication Needed)	1972	Orginally presented at the Western Electronic Show and Convention (WESCON) Sept 19-22, 1972. This conference no longer exists	Goodyear or Loral research documents				Orginally presented at the Western Electronic Show and Convention (WESCON) Sept 19-22, 1972. This conference no longer exists			Kenneth E. Batcher	Goodyear Publication; Presentation
STARAN-RADCAP Hardware Architecture (Digital Copy of Publication Needed)	1973	1973 Sagamore Computer Conference on Parallel Processing	Goodyear or Loral research documents				1973 Sagamore Computer Conference on Parallel Processing			Kenneth E. Batcher	Goodyear Publication; Presentation
STARAN Parallel Processor System Hardware (We have a UA Digital Copy of this paper)	1974	National Computer Conference, 1974 --- PDF copy already exists.	Goodyear or Loral research documents				National Computer Conference, 1974 --- PDF copy already exists.			Kenneth E. Batcher	Goodyear Publication
MPP Processes Satellite Data	1984	Appeared in Computer World in 2/13/84	Goodyear or Loral research documents				Appeared in Computer World in 2/13/84			Computer World Staff	Goodyear - Technical News
The Goodyear SIMD Processors: Insight Gained from 20 Years …	1986	Goodyear Aerospace Corporation	Goodyear or Loral research documents				Goodyear Aerospace Corporation			Ruldolf  O. Faiss	Goodyear Information
A Scene Analysis SIMD Processor	1984	Preprint ICDD 84	Kent State University Research				Preprint ICDD 84			Dr. Jerry  L. Potter	KSU Research; Publication
The STARAN Architecture and its Application to Image Processing & Pattern Recognization Algorithms	1978	NCC (National Computer Conference) June 78, Pg 1041 - 1047 : Digital Copy of Paper Needed as NCC no longer exists	Goodyear or Loral research documents				NCC (National Computer Conference) June 78, Pg 1041 - 1047 : Digital Copy of Paper Needed as NCC no longer exists			Dr. J. L. Potter	Goodyear Publication
The Use of an Associative Processor for Image Processing	1979	Intended for publication in the National Computer Conference in 1979, Uses STARAN	Goodyear or Loral research documents				Intended for publication in the National Computer Conference in 1979, Uses STARAN			J. L. Potter	Goodyear Research
Continuous Image Processing on the MPP (earlier & longer version)	1979	Goodyear Aerospace Corporation	Goodyear or Loral research documents				Goodyear Aerospace Corporation			Dr. J. L. Potter	
Continuous Image Processing on the MPP (Published Version)	1981	1981 Computer Society Workshop on Computer Architecture for Pattern Analysis and Image Database Management, Hot Springs, Virginia, Nov 11-13, 1981, pp 51-56	Goodyear or Loral research documents				1981 Computer Society Workshop on Computer Architecture for Pattern Analysis and Image Database Management, Hot Springs, Virginia, Nov 11-13, 1981, pp 51-56			Dr. J. L. Potter	Goodyear Research
MPP Architecture & Programming 	1982-3	Digital Technology, Goodyear Aerospace Corporation, Akron OH	Goodyear or Loral research documents				Digital Technology, Goodyear Aerospace Corporation, Akron OH			J. L. Potter	Goodyear Research
"Pattern Processing on the STARAN" & "CDC letter with Publication Information"	1981- 1982	CRC Press, Book Chapter in Special Computers for Pattern Processing, Editors: Dr. K.S. Fu and Dr. Tadeo Ichikawa	Goodyear or Loral research documents				CRC Press, Book Chapter in Special Computers for Pattern Processing, Editors: Dr. K.S. Fu and Dr. Tadeo Ichikawa			Dr. J. L. Potter 	Goodyear Research
Rule-Based Systems on SIMD Computers	1987 - 1988 ?	Submitted for publication. Either published or a (possibly shorter) revision was published. Extension of Haston's Thesis	Kent State University Research				Submitted for publication. Either published or a (possibly shorter) revision was published. Extension of Haston's Thesis			Jerry L. Potter; Mary L. Rivett; Timothy H.Haston	KSU Research
Specialized SIMD Instruction for Associative Processing	1985	ICDD'85 Ryetown Hilton, Rye Brook, New York, Oct 7-10, 1985, p. 490-493	Kent State University Research				ICDD'85 Ryetown Hilton, Rye Brook, New York, Oct 7-10, 1985, p. 490-493			Dr. Jerry L. Potter	KSU Publication
The ASPRO Parallel Inference Engine (P.I.E.) A Real-Time Production Rule System	?	AIAA/NASA/ACM, Computers in Aerospace, Long Beach Calif. Date of Oct 3 possibly presentation date	Goodyear or Loral research documents				AIAA/NASA/ACM, Computers in Aerospace, Long Beach Calif. Date of Oct 3 possibly presentation date			Bruce Reed, Jr.	Goodyear Research; Presentation
The ASPRO Parallel Inference Engine (A Real-Time Expert System)	?	Information about how to implement a Real-Time System on the ASPRO	Goodyear or Loral research documents				Information about how to implement a Real-Time System on the ASPRO			Bruce R. Reed; John H. Smit; Richard W. Lott	Goodyear Information
Picture of Fore-Runner of STARAN -- 1954 (copy both sides)	1954		Goodyear or Loral research documents	none	JWB		A picture of a forerunner to the STARAN			Johnnie W. Baker	Picture; Comments
Study of Applications of Associative Processors to Air Traffic Collision Avoidance	01/01/68		Goodyear or Loral research documents	GAP-68-4669	JWB		An early proposal explaining how associative processor can handle aircraft collision detection & avoidance			Johnnie W. Baker	Proposal
Parallel Relaxation 	07/01/71		Goodyear or Loral research documents		JWB		Report submitted by Goodyear Aerospace Corp. to the Air Force Office of Scientific Research. Stationary iterative techniques for solving systems of linear equations are reviewed and an accelerated form of Point-Jocobi method (parallel relaxation) is developed 			P.A. Gilmore	Report by P.A. Gilmore 
Air Traffic Control Demo 1972 Program Details	1972		Goodyear or Loral research documents	none	JWB		Details of ATC Demo first used at TRANSPO'72 at Dulles International Airport using an associative processor			Johnnie W. Baker	Full Report & Documentation
Joint Enroute Terminal System	02/01/73		Goodyear or Loral research documents	none	JWB		Proposal by RCA and Goodyear to the Dept of Transport in Ottawa,Ontario			Johnnie W. Baker	Proposal Highlights 
STARAN Mainframe Diagnostic Users Manual	06/01/73		Reference Manual	GER-15694A	JWB		Determines any hardware failure. Verifies STARAN is operational			Johnnie W. Baker	Published Manual
